(0.000, 0.000, 0.000)|(-0.707, 0.000, 0.000, 0.707)|(1.000, 1.000, 1.000)|DisposedBlack
(17.321, 0.000, 0.000)|(-0.707, 0.000, 0.000, 0.707)|(1.000, 1.000, 1.000)|DisposedBlack
(34.641, 0.000, 0.000)|(-0.707, 0.000, 0.000, 0.707)|(1.000, 1.000, 1.000)|DisposedBlack
(51.962, 0.000, 0.000)|(-0.707, 0.000, 0.000, 0.707)|(1.000, 1.000, 1.000)|DisposedBlack
(69.282, 0.000, 0.000)|(-0.707, 0.000, 0.000, 0.707)|(1.000, 1.000, 1.000)|DisposedBlack
(86.603, 0.000, 0.000)|(-0.707, 0.000, 0.000, 0.707)|(1.000, 1.000, 1.000)|DisposedBlack
(103.923, 0.000, 0.000)|(-0.707, 0.000, 0.000, 0.707)|(1.000, 1.000, 1.000)|DisposedBlack
(121.244, 0.000, 0.000)|(-0.707, 0.000, 0.000, 0.707)|(1.000, 1.000, 1.000)|DisposedBlack
(138.564, 0.000, 0.000)|(-0.707, 0.000, 0.000, 0.707)|(1.000, 1.000, 1.000)|DisposedBlack
(155.885, 0.000, 0.000)|(-0.707, 0.000, 0.000, 0.707)|(1.000, 1.000, 1.000)|DisposedBlack
(8.660, 0.000, 15.000)|(-0.707, 0.000, 0.000, 0.707)|(1.000, 1.000, 1.000)|DisposedBlack
(25.981, 0.000, 15.000)|(-0.707, 0.000, 0.000, 0.707)|(1.000, 1.000, 1.000)|Grass
(43.301, 0.000, 15.000)|(-0.707, 0.000, 0.000, 0.707)|(1.000, 1.000, 1.000)|Water
(60.622, 0.000, 15.000)|(-0.707, 0.000, 0.000, 0.707)|(1.000, 1.000, 1.000)|Grass
(77.942, 0.000, 15.000)|(-0.707, 0.000, 0.000, 0.707)|(1.000, 1.000, 1.000)|Grass
(95.263, 0.000, 15.000)|(-0.707, 0.000, 0.000, 0.707)|(1.000, 1.000, 1.000)|Water
(112.583, 0.000, 15.000)|(-0.707, 0.000, 0.000, 0.707)|(1.000, 1.000, 1.000)|Water
(129.904, 0.000, 15.000)|(-0.707, 0.000, 0.000, 0.707)|(1.000, 1.000, 1.000)|Grass
(147.224, 0.000, 15.000)|(-0.707, 0.000, 0.000, 0.707)|(1.000, 1.000, 1.000)|Grass
(164.545, 0.000, 15.000)|(-0.707, 0.000, 0.000, 0.707)|(1.000, 1.000, 1.000)|DisposedBlack
(0.000, 0.000, 30.000)|(-0.707, 0.000, 0.000, 0.707)|(1.000, 1.000, 1.000)|DisposedBlack
(17.321, 0.000, 30.000)|(-0.707, 0.000, 0.000, 0.707)|(1.000, 1.000, 1.000)|Grass
(34.641, 0.000, 30.000)|(-0.707, 0.000, 0.000, 0.707)|(1.000, 1.000, 1.000)|Water
(51.962, 0.000, 30.000)|(-0.707, 0.000, 0.000, 0.707)|(1.000, 1.000, 1.000)|Grass
(69.282, 0.000, 30.000)|(-0.707, 0.000, 0.000, 0.707)|(1.000, 1.000, 1.000)|Water
(86.603, 0.000, 30.000)|(-0.707, 0.000, 0.000, 0.707)|(1.000, 1.000, 1.000)|Grass
(103.923, 0.000, 30.000)|(-0.707, 0.000, 0.000, 0.707)|(1.000, 1.000, 1.000)|Water
(121.244, 0.000, 30.000)|(-0.707, 0.000, 0.000, 0.707)|(1.000, 1.000, 1.000)|Grass
(138.564, 0.000, 30.000)|(-0.707, 0.000, 0.000, 0.707)|(1.000, 1.000, 1.000)|Grass
(155.885, 0.000, 30.000)|(-0.707, 0.000, 0.000, 0.707)|(1.000, 1.000, 1.000)|DisposedBlack
(8.660, 0.000, 45.000)|(-0.707, 0.000, 0.000, 0.707)|(1.000, 1.000, 1.000)|DisposedBlack
(25.981, 0.000, 45.000)|(-0.707, 0.000, 0.000, 0.707)|(1.000, 1.000, 1.000)|Grass
(43.301, 0.000, 45.000)|(-0.707, 0.000, 0.000, 0.707)|(1.000, 1.000, 1.000)|Water
(60.622, 0.000, 45.000)|(-0.707, 0.000, 0.000, 0.707)|(1.000, 1.000, 1.000)|Grass
(77.942, 0.000, 45.000)|(-0.707, 0.000, 0.000, 0.707)|(1.000, 1.000, 1.000)|Water
(95.263, 0.000, 45.000)|(-0.707, 0.000, 0.000, 0.707)|(1.000, 1.000, 1.000)|Grass
(112.583, 0.000, 45.000)|(-0.707, 0.000, 0.000, 0.707)|(1.000, 1.000, 1.000)|Water
(129.904, 0.000, 45.000)|(-0.707, 0.000, 0.000, 0.707)|(1.000, 1.000, 1.000)|Grass
(147.224, 0.000, 45.000)|(-0.707, 0.000, 0.000, 0.707)|(1.000, 1.000, 1.000)|Grass
(164.545, 0.000, 45.000)|(-0.707, 0.000, 0.000, 0.707)|(1.000, 1.000, 1.000)|DisposedBlack
(0.000, 0.000, 60.000)|(-0.707, 0.000, 0.000, 0.707)|(1.000, 1.000, 1.000)|DisposedBlack
(17.321, 0.000, 60.000)|(-0.707, 0.000, 0.000, 0.707)|(1.000, 1.000, 1.000)|Grass
(34.641, 0.000, 60.000)|(-0.707, 0.000, 0.000, 0.707)|(1.000, 1.000, 1.000)|Water
(51.962, 0.000, 60.000)|(-0.707, 0.000, 0.000, 0.707)|(1.000, 1.000, 1.000)|Grass
(69.282, 0.000, 60.000)|(-0.707, 0.000, 0.000, 0.707)|(1.000, 1.000, 1.000)|Water
(86.603, 0.000, 60.000)|(-0.707, 0.000, 0.000, 0.707)|(1.000, 1.000, 1.000)|Grass
(103.923, 0.000, 60.000)|(-0.707, 0.000, 0.000, 0.707)|(1.000, 1.000, 1.000)|Water
(121.244, 0.000, 60.000)|(-0.707, 0.000, 0.000, 0.707)|(1.000, 1.000, 1.000)|Grass
(138.564, 0.000, 60.000)|(-0.707, 0.000, 0.000, 0.707)|(1.000, 1.000, 1.000)|Grass
(155.885, 0.000, 60.000)|(-0.707, 0.000, 0.000, 0.707)|(1.000, 1.000, 1.000)|DisposedBlack
(8.660, 0.000, 75.000)|(-0.707, 0.000, 0.000, 0.707)|(1.000, 1.000, 1.000)|DisposedBlack
(25.981, 0.000, 75.000)|(-0.707, 0.000, 0.000, 0.707)|(1.000, 1.000, 1.000)|Grass
(43.301, 0.000, 75.000)|(-0.707, 0.000, 0.000, 0.707)|(1.000, 1.000, 1.000)|Water
(60.622, 0.000, 75.000)|(-0.707, 0.000, 0.000, 0.707)|(1.000, 1.000, 1.000)|Grass
(77.942, 0.000, 75.000)|(-0.707, 0.000, 0.000, 0.707)|(1.000, 1.000, 1.000)|Water
(95.263, 0.000, 75.000)|(-0.707, 0.000, 0.000, 0.707)|(1.000, 1.000, 1.000)|Grass
(112.583, 0.000, 75.000)|(-0.707, 0.000, 0.000, 0.707)|(1.000, 1.000, 1.000)|Water
(129.904, 0.000, 75.000)|(-0.707, 0.000, 0.000, 0.707)|(1.000, 1.000, 1.000)|Grass
(147.224, 0.000, 75.000)|(-0.707, 0.000, 0.000, 0.707)|(1.000, 1.000, 1.000)|Grass
(164.545, 0.000, 75.000)|(-0.707, 0.000, 0.000, 0.707)|(1.000, 1.000, 1.000)|DisposedBlack
(0.000, 0.000, 90.000)|(-0.707, 0.000, 0.000, 0.707)|(1.000, 1.000, 1.000)|DisposedBlack
(17.321, 0.000, 90.000)|(-0.707, 0.000, 0.000, 0.707)|(1.000, 1.000, 1.000)|Grass
(34.641, 0.000, 90.000)|(-0.707, 0.000, 0.000, 0.707)|(1.000, 1.000, 1.000)|Water
(51.962, 0.000, 90.000)|(-0.707, 0.000, 0.000, 0.707)|(1.000, 1.000, 1.000)|Grass
(69.282, 0.000, 90.000)|(-0.707, 0.000, 0.000, 0.707)|(1.000, 1.000, 1.000)|Water
(86.603, 0.000, 90.000)|(-0.707, 0.000, 0.000, 0.707)|(1.000, 1.000, 1.000)|Grass
(103.923, 0.000, 90.000)|(-0.707, 0.000, 0.000, 0.707)|(1.000, 1.000, 1.000)|Water
(121.244, 0.000, 90.000)|(-0.707, 0.000, 0.000, 0.707)|(1.000, 1.000, 1.000)|Grass
(138.564, 0.000, 90.000)|(-0.707, 0.000, 0.000, 0.707)|(1.000, 1.000, 1.000)|Grass
(155.885, 0.000, 90.000)|(-0.707, 0.000, 0.000, 0.707)|(1.000, 1.000, 1.000)|DisposedBlack
(8.660, 0.000, 105.000)|(-0.707, 0.000, 0.000, 0.707)|(1.000, 1.000, 1.000)|DisposedBlack
(25.981, 0.000, 105.000)|(-0.707, 0.000, 0.000, 0.707)|(1.000, 1.000, 1.000)|Grass
(43.301, 0.000, 105.000)|(-0.707, 0.000, 0.000, 0.707)|(1.000, 1.000, 1.000)|Water
(60.622, 0.000, 105.000)|(-0.707, 0.000, 0.000, 0.707)|(1.000, 1.000, 1.000)|Grass
(77.942, 0.000, 105.000)|(-0.707, 0.000, 0.000, 0.707)|(1.000, 1.000, 1.000)|Water
(95.263, 0.000, 105.000)|(-0.707, 0.000, 0.000, 0.707)|(1.000, 1.000, 1.000)|Grass
(112.583, 0.000, 105.000)|(-0.707, 0.000, 0.000, 0.707)|(1.000, 1.000, 1.000)|Water
(129.904, 0.000, 105.000)|(-0.707, 0.000, 0.000, 0.707)|(1.000, 1.000, 1.000)|Grass
(147.224, 0.000, 105.000)|(-0.707, 0.000, 0.000, 0.707)|(1.000, 1.000, 1.000)|Grass
(164.545, 0.000, 105.000)|(-0.707, 0.000, 0.000, 0.707)|(1.000, 1.000, 1.000)|DisposedBlack
